,Year,% Share of GDP by Sector,Total Employment
1,2001,114603677.0,306680.0
2,2002,107855557.0,263465.0
3,2003,112424235.0,231464.0
4,2004,116858392.0,224134.0
5,2005,125176381.0,228910.0
6,2006,133968424.0,231065.0
7,2007,145171511.0,228844.0
8,2008,150755331.0,225611.0
9,2009,148428606.0,204675.0
10,2010,160765609.0,199946.0
11,2011,174227088.0,204670.0
12,2012,182767392.0,207704.0
13,2013,203463974.0,208774.0
14,2014,221870928.0,213411.0
15,2015,246541540.0,220897.0
16,2016,263341449.0,227757.0
17,2017,283486573.0,229452.0
18,2018,315091085.0,236179.0
