,County_x,Census Tract,Per Capita Income (In 2015 Inflation Adjusted Dollars),State,County_y,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
99,35,118800,19038,Ohio,"Cuyahoga County, OH",118800,78.8,77.6-79.5,1.9031
100,35,119202,19689,Ohio,"Cuyahoga County, OH",119202,65.4,56.9-75.1,2.2415
101,35,119300,9176,Ohio,"Cuyahoga County, OH",119300,69.9,56.9-75.1,1.7143
102,35,119401,20593,Ohio,"Cuyahoga County, OH",119401,74.7,56.9-75.1,1.3391
103,35,119402,15840,Ohio,"Cuyahoga County, OH",119402,74.2,56.9-75.1,2.1159
104,35,119501,35811,Ohio,"Cuyahoga County, OH",119501,79.7,79.6-81.6,1.8606
105,35,119600,16612,Ohio,"Cuyahoga County, OH",119600,69.1,56.9-75.1,3.007
106,35,119701,22388,Ohio,"Cuyahoga County, OH",119701,73.2,56.9-75.1,2.9669
107,35,119702,12341,Ohio,"Cuyahoga County, OH",119702,70.7,56.9-75.1,2.5118
108,35,119800,12202,Ohio,"Cuyahoga County, OH",119800,72.0,56.9-75.1,1.0637
109,35,119900,19157,Ohio,"Cuyahoga County, OH",119900,72.0,56.9-75.1,2.8241
110,35,120200,10339,Ohio,"Cuyahoga County, OH",120200,73.1,56.9-75.1,2.8999
111,35,120400,13130,Ohio,"Cuyahoga County, OH",120400,71.7,56.9-75.1,2.5911
112,35,120500,11880,Ohio,"Cuyahoga County, OH",120500,72.1,56.9-75.1,1.7448
113,35,120600,13754,Ohio,"Cuyahoga County, OH",120600,72.5,56.9-75.1,2.5551
114,35,120701,13081,Ohio,"Cuyahoga County, OH",120701,71.8,56.9-75.1,2.1658
115,35,120801,16008,Ohio,"Cuyahoga County, OH",120801,70.7,56.9-75.1,2.2012
116,35,120802,15219,Ohio,"Cuyahoga County, OH",120802,70.2,56.9-75.1,2.2996
117,35,121100,13612,Ohio,"Cuyahoga County, OH",121100,75.5,75.2-77.5,3.1681
118,35,121200,11891,Ohio,"Cuyahoga County, OH",121200,71.8,56.9-75.1,1.9542
119,35,121300,10764,Ohio,"Cuyahoga County, OH",121300,76.2,75.2-77.5,2.6814
120,35,121403,14861,Ohio,"Cuyahoga County, OH",121403,74.9,56.9-75.1,2.0935
121,35,121500,16225,Ohio,"Cuyahoga County, OH",121500,71.9,56.9-75.1,3.3252
122,35,121700,21320,Ohio,"Cuyahoga County, OH",121700,76.3,75.2-77.5,1.4832
123,35,121800,18191,Ohio,"Cuyahoga County, OH",121800,76.0,75.2-77.5,2.1387
124,35,121900,17405,Ohio,"Cuyahoga County, OH",121900,71.6,56.9-75.1,1.4348
125,35,122100,16984,Ohio,"Cuyahoga County, OH",122100,71.6,56.9-75.1,1.1128
126,35,122200,15957,Ohio,"Cuyahoga County, OH",122200,70.2,56.9-75.1,1.8754
127,35,122300,17282,Ohio,"Cuyahoga County, OH",122300,71.4,56.9-75.1,2.4318
128,35,123100,35544,Ohio,"Cuyahoga County, OH",123100,79.8,79.6-81.6,1.9923
129,35,123200,27987,Ohio,"Cuyahoga County, OH",123200,77.9,77.6-79.5,1.5567
130,35,123400,32734,Ohio,"Cuyahoga County, OH",123400,78.3,77.6-79.5,1.5569
131,35,123501,17848,Ohio,"Cuyahoga County, OH",123501,76.5,75.2-77.5,2.0245
132,35,123502,20886,Ohio,"Cuyahoga County, OH",123502,76.9,75.2-77.5,3.926
133,35,123602,25993,Ohio,"Cuyahoga County, OH",123602,74.9,56.9-75.1,1.1794
134,35,123603,28092,Ohio,"Cuyahoga County, OH",123603,77.0,75.2-77.5,1.8408
135,35,123700,24353,Ohio,"Cuyahoga County, OH",123700,73.9,56.9-75.1,1.9249
136,35,123800,11281,Ohio,"Cuyahoga County, OH",123800,75.2,75.2-77.5,1.9515
137,35,123900,19657,Ohio,"Cuyahoga County, OH",123900,71.1,56.9-75.1,2.1286
138,35,124100,18341,Ohio,"Cuyahoga County, OH",124100,72.8,56.9-75.1,2.1495
