,Year,Total Income,Wages and Salaries,% of total
2,1969,791229,62322,0.07876607151659001
3,1970,855525,74733,0.08735337950381344
4,1971,924613,88248,0.09544317460386129
5,1972,1016408,98130,0.09654587527843149
6,1973,1133468,112848,0.09955993464306007
7,1974,1244912,133639,0.10734814990939119
8,1975,1362505,170424,0.12508137584816204
9,1976,1495704,184845,0.12358394441680974
10,1977,1651632,195111,0.1181322473771397
11,1978,1855849,210561,0.11345804534743936
12,1979,2073257,236376,0.11401191458656597
13,1980,2313160,280874,0.12142437185495167
14,1981,2592915,319762,0.12332143552719622
15,1982,2779794,356141,0.12811776700000072
16,1983,2968676,384671,0.12957661934141684
17,1984,3279488,401232,0.12234592716911909
18,1985,3510471,425761,0.12128315545122008
19,1986,3719647,451711,0.12143921183918796
20,1987,3946593,468094,0.11860711251451568
21,1988,4267813,497410,0.11654915526992396
22,1989,4609667,544186,0.11805321295442817
23,1990,4897821,597231,0.12193810267872182
24,1991,5067291,668048,0.13183533371183934
25,1992,5409920,747939,0.13825324588903348
26,1993,5648732,792906,0.14036884738026162
27,1994,5940128,828880,0.13953908063933976
28,1995,6286143,883374,0.14052718813428203
29,1996,6673186,929128,0.13923304400626627
30,1997,7086935,954797,0.13472636619356604
31,1998,7601594,983878,0.12943048523770145
32,1999,8001563,1026144,0.12824294453471152
33,2000,8650325,1087280,0.1256923872802467
34,2001,9001839,1192565,0.13248015211114084
35,2002,9155663,1285190,0.14037104685919524
36,2003,9480901,1347228,0.14209915281258606
37,2004,10028781,1421206,0.14171273657286962
38,2005,10593946,1516711,0.14316771106818932
39,2006,11372589,1613814,0.14190383561737788
40,2007,12002204,1728065,0.14397897252871222
41,2008,12438527,1955082,0.15717954384791705
42,2009,12051307,2146693,0.17812947591493603
43,2010,12541995,2325117,0.18538653539568467
44,2011,13315478,2358654,0.17713626202529117
45,2012,13998383,2362988,0.16880435404574942
46,2013,14175503,2424297,0.17102017473383485
47,2014,14982715,2541510,0.16962946969224202
48,2015,15709242,2683230,0.17080582245788817
49,2016,16111636,2774165,0.1721839420900522
50,2017,16870106,2848087,0.1688244875284127
51,2018,17813035,2971451,0.16681329150254295
