,Year,Total Income,Wages and Salaries,% of total
2,1969,791229,119140,0.15057587626338267
3,1970,855525,133564,0.15611934192454927
4,1971,924613,145252,0.15709491430468747
5,1972,1016408,157674,0.15512864912515448
6,1973,1133468,176992,0.15615085736871265
7,1974,1244912,202399,0.16258096957857263
8,1975,1362505,221762,0.16276050363117933
9,1976,1495704,238786,0.1596478982472468
10,1977,1651632,265688,0.16086392126091043
11,1978,1855849,300292,0.16180842299131018
12,1979,2073257,341022,0.16448612014815336
13,1980,2313160,413614,0.17880907503155857
14,1981,2592915,507254,0.19563078620008756
15,1982,2779794,578352,0.2080557048471937
16,1983,2968676,621342,0.2092993644304734
17,1984,3279488,702658,0.21425844522071738
18,1985,3510471,749555,0.21351978124872703
19,1986,3719647,783196,0.21055653937053703
20,1987,3946593,804246,0.20378235100503142
21,1988,4267813,870483,0.20396465355909454
22,1989,4609667,982219,0.2130780813451384
23,1990,4897821,1029493,0.21019408426726904
24,1991,5067291,1038003,0.2048437715536763
25,1992,5409920,1056248,0.19524281320241335
26,1993,5648732,1094227,0.19371196934108398
27,1994,5940128,1160955,0.19544275813585163
28,1995,6286143,1259091,0.20029627070208234
29,1996,6673186,1341353,0.20100638585527214
30,1997,7086935,1429714,0.2017393979202575
31,1998,7601594,1533632,0.20175136951539374
32,1999,8001563,1535172,0.19185901554483792
33,2000,8650325,1666564,0.19265911974405586
34,2001,9001839,1673408,0.18589623742437517
35,2002,9155663,1617025,0.17661473560134314
36,2003,9480901,1665285,0.17564628087562564
37,2004,10028781,1757607,0.17525629485776986
38,2005,10593946,1906918,0.18000072871808107
39,2006,11372589,2157509,0.18971133134240584
40,2007,12002204,2364762,0.19702731265024323
41,2008,12438527,2454213,0.1973073660570902
42,2009,12051307,2175976,0.18055933684205372
43,2010,12541995,2172657,0.17323057456170252
44,2011,13315478,2425157,0.1821306752938197
45,2012,13998383,2679055,0.19138317618542083
46,2013,14175503,2618537,0.18472268673640715
47,2014,14982715,2902020,0.19369119682247177
48,2015,15709242,3114350,0.19824953998416983
49,2016,16111636,3198110,0.19849691241783268
50,2017,16870106,3395724,0.20128646494574487
51,2018,17813035,3682134,0.20671008618127118
