,observation_date,ICSA
232,1986-05-01,386000
233,1986-06-01,370500
234,1986-07-01,362000
235,1986-08-01,407400
236,1986-09-01,395500
237,1986-10-01,383250
238,1986-11-01,363200
239,1986-12-01,358250
240,1987-01-01,345600
241,1987-02-01,348750
242,1987-03-01,333250
243,1987-04-01,336250
244,1987-05-01,331000
245,1987-06-01,322250
246,1987-07-01,319250
247,1987-08-01,325600
248,1987-09-01,309750
249,1987-10-01,300000
250,1987-11-01,306750
251,1987-12-01,318750
252,1988-01-01,335600
253,1988-02-01,318750
254,1988-03-01,305500
255,1988-04-01,312200
256,1988-05-01,313750
257,1988-06-01,308250
258,1988-07-01,321600
259,1988-08-01,314750
260,1988-09-01,304500
261,1988-10-01,291400
262,1988-11-01,290500
263,1988-12-01,293200
264,1989-01-01,289750
265,1989-02-01,303750
266,1989-03-01,322000
267,1989-04-01,311800
268,1989-05-01,324500
269,1989-06-01,333000
270,1989-07-01,341600
271,1989-08-01,334500
272,1989-09-01,336000
273,1989-10-01,363250
274,1989-11-01,336750
275,1989-12-01,355200
276,1990-01-01,361000
277,1990-02-01,358250
278,1990-03-01,345200
279,1990-04-01,361750
280,1990-05-01,355250
281,1990-06-01,362400
282,1990-07-01,367000
283,1990-08-01,384250
284,1990-09-01,394000
285,1990-10-01,425250
286,1990-11-01,446750
287,1990-12-01,455000
288,1991-01-01,439750
289,1991-02-01,484000
290,1991-03-01,498600
291,1991-04-01,467250
292,1991-05-01,447000
293,1991-06-01,428600
294,1991-07-01,418250
295,1991-08-01,431600
296,1991-09-01,424500
297,1991-10-01,422750
298,1991-11-01,445400
299,1991-12-01,456750
300,1992-01-01,439000
301,1992-02-01,442200
302,1992-03-01,429500
303,1992-04-01,418250
304,1992-05-01,417400
305,1992-06-01,418750
306,1992-07-01,442750
307,1992-08-01,407200
308,1992-09-01,417000
309,1992-10-01,377800
310,1992-11-01,362250
311,1992-12-01,339000
312,1993-01-01,345600
313,1993-02-01,338250
314,1993-03-01,351000
315,1993-04-01,354750
316,1993-05-01,343600
317,1993-06-01,342750
318,1993-07-01,350800
319,1993-08-01,341000
320,1993-09-01,339000
321,1993-10-01,349800
322,1993-11-01,341000
323,1993-12-01,323000
324,1994-01-01,359200
325,1994-02-01,348500
326,1994-03-01,335750
327,1994-04-01,344000
328,1994-05-01,359000
329,1994-06-01,340000
330,1994-07-01,342200
331,1994-08-01,336250
332,1994-09-01,330250
333,1994-10-01,333400
334,1994-11-01,328000
335,1994-12-01,323200
336,1995-01-01,333500
337,1995-02-01,337750
338,1995-03-01,340250
339,1995-04-01,350200
340,1995-05-01,370250
341,1995-06-01,366250
342,1995-07-01,371400
343,1995-08-01,356250
344,1995-09-01,362000
345,1995-10-01,371500
346,1995-11-01,377000
347,1995-12-01,365000
348,1996-01-01,374000
349,1996-02-01,377250
350,1996-03-01,386400
351,1996-04-01,359250
352,1996-05-01,344500
353,1996-06-01,342200
354,1996-07-01,337000
355,1996-08-01,331800
356,1996-09-01,342750
357,1996-10-01,339000
358,1996-11-01,336400
359,1996-12-01,353500
360,1997-01-01,339000
361,1997-02-01,320750
362,1997-03-01,319400
363,1997-04-01,327000
364,1997-05-01,323800
365,1997-06-01,325500
366,1997-07-01,320250
367,1997-08-01,330200
368,1997-09-01,315250
369,1997-10-01,310000
370,1997-11-01,314600
371,1997-12-01,313250
372,1998-01-01,321200
373,1998-02-01,319000
374,1998-03-01,315000
375,1998-04-01,311000
376,1998-05-01,311200
377,1998-06-01,338000
378,1998-07-01,333000
379,1998-08-01,312600
380,1998-09-01,304000
381,1998-10-01,310600
382,1998-11-01,316000
383,1998-12-01,316000
384,1999-01-01,326200
385,1999-02-01,301500
386,1999-03-01,302750
387,1999-04-01,308500
388,1999-05-01,301600
389,1999-06-01,294000
390,1999-07-01,298000
391,1999-08-01,290750
392,1999-09-01,289500
393,1999-10-01,290400
394,1999-11-01,281750
395,1999-12-01,278500
396,2000-01-01,288400
397,2000-02-01,293750
398,2000-03-01,274750
399,2000-04-01,271600
400,2000-05-01,282250
401,2000-06-01,291000
402,2000-07-01,295000
403,2000-08-01,312750
404,2000-09-01,300200
405,2000-10-01,301000
406,2000-11-01,334250
407,2000-12-01,346000
408,2001-01-01,340000
409,2001-02-01,371250
410,2001-03-01,387200
411,2001-04-01,396750
412,2001-05-01,394500
413,2001-06-01,397200
414,2001-07-01,398000
415,2001-08-01,398000
416,2001-09-01,435000
417,2001-10-01,480750
418,2001-11-01,447500
419,2001-12-01,416800
420,2002-01-01,408500
421,2002-02-01,399000
422,2002-03-01,415400
423,2002-04-01,429250
424,2002-05-01,409000
425,2002-06-01,387200
426,2002-07-01,386000
427,2002-08-01,393600
428,2002-09-01,409500
429,2002-10-01,407500
430,2002-11-01,392200
431,2002-12-01,414250
432,2003-01-01,395000
433,2003-02-01,411000
434,2003-03-01,427400
435,2003-04-01,436250
436,2003-05-01,424000
437,2003-06-01,421750
438,2003-07-01,411500
439,2003-08-01,400200
440,2003-09-01,395500
441,2003-10-01,382000
442,2003-11-01,363000
443,2003-12-01,358250
444,2004-01-01,360200
445,2004-02-01,360750
446,2004-03-01,342000
447,2004-04-01,348250
448,2004-05-01,336200
449,2004-06-01,349000
450,2004-07-01,343000
451,2004-08-01,340750
452,2004-09-01,337250
453,2004-10-01,334000
454,2004-11-01,328750
455,2004-12-01,325250
456,2005-01-01,343400
457,2005-02-01,311750
458,2005-03-01,332000
459,2005-04-01,323200
460,2005-05-01,327000
461,2005-06-01,325750
462,2005-07-01,324400
463,2005-08-01,315750
464,2005-09-01,382750
465,2005-10-01,352200
466,2005-11-01,317250
467,2005-12-01,316400
468,2006-01-01,295750
469,2006-02-01,290750
470,2006-03-01,301750
471,2006-04-01,303600
472,2006-05-01,332750
473,2006-06-01,305500
474,2006-07-01,318800
475,2006-08-01,314250
476,2006-09-01,316200
477,2006-10-01,315500
478,2006-11-01,326250
479,2006-12-01,324000
480,2007-01-01,317250
481,2007-02-01,322750
482,2007-03-01,309400
483,2007-04-01,320250
484,2007-05-01,304250
485,2007-06-01,315200
486,2007-07-01,313250
487,2007-08-01,320000
488,2007-09-01,313400
489,2007-10-01,328250
490,2007-11-01,336000
491,2007-12-01,348200
492,2008-01-01,338750
493,2008-02-01,346750
494,2008-03-01,363400
495,2008-04-01,359500
496,2008-05-01,366800
497,2008-06-01,383250
498,2008-07-01,398000
499,2008-08-01,433000
500,2008-09-01,464000
501,2008-10-01,475250
502,2008-11-01,519800
503,2008-12-01,564000
504,2009-01-01,572000
505,2009-02-01,644000
506,2009-03-01,659250
507,2009-04-01,627750
508,2009-05-01,612000
509,2009-06-01,598250
510,2009-07-01,566500
511,2009-08-01,559200
512,2009-09-01,547500
513,2009-10-01,525400
514,2009-11-01,494000
515,2009-12-01,485500
516,2010-01-01,479800
517,2010-02-01,485750
518,2010-03-01,470250
519,2010-04-01,469000
520,2010-05-01,459400
521,2010-06-01,460500
522,2010-07-01,459200
523,2010-08-01,475000
524,2010-09-01,453500
525,2010-10-01,446800
526,2010-11-01,426250
527,2010-12-01,420250
528,2011-01-01,426800
529,2011-02-01,401500
530,2011-03-01,406000
531,2011-04-01,420600
532,2011-05-01,422500
533,2011-06-01,418250
534,2011-07-01,412600
535,2011-08-01,409500
536,2011-09-01,417750
537,2011-10-01,402400
538,2011-11-01,389250
539,2011-12-01,377000
540,2012-01-01,377750
541,2012-02-01,363250
542,2012-03-01,366600
543,2012-04-01,381750
544,2012-05-01,373500
545,2012-06-01,379200
546,2012-07-01,372500
547,2012-08-01,373250
548,2012-09-01,381800
549,2012-10-01,368500
550,2012-11-01,401250
551,2012-12-01,359000
552,2013-01-01,353000
553,2013-02-01,353000
554,2013-03-01,351800
555,2013-04-01,347250
556,2013-05-01,347750
557,2013-06-01,344600
558,2013-07-01,346000
559,2013-08-01,333400
560,2013-09-01,314000
561,2013-10-01,358500
562,2013-11-01,328200
563,2013-12-01,346000
564,2014-01-01,326750
565,2014-02-01,335250
566,2014-03-01,321000
567,2014-04-01,322750
568,2014-05-01,313800
569,2014-06-01,313500
570,2014-07-01,301750
571,2014-08-01,302000
572,2014-09-01,295000
573,2014-10-01,288750
574,2014-11-01,291600
575,2014-12-01,284500
576,2015-01-01,287600
577,2015-02-01,301250
578,2015-03-01,284000
579,2015-04-01,286000
580,2015-05-01,274000
581,2015-06-01,273750
582,2015-07-01,277750
583,2015-08-01,275200
584,2015-09-01,269500
585,2015-10-01,267000
586,2015-11-01,268500
587,2015-12-01,271000
588,2016-01-01,279400
589,2016-02-01,267250
590,2016-03-01,264250
591,2016-04-01,265200
592,2016-05-01,275250
593,2016-06-01,265250
594,2016-07-01,260600
595,2016-08-01,264500
596,2016-09-01,252250
597,2016-10-01,256600
598,2016-11-01,247750
599,2016-12-01,251000
600,2017-01-01,246750
601,2017-02-01,239250
602,2017-03-01,250250
603,2017-04-01,241800
604,2017-05-01,239750
605,2017-06-01,240500
606,2017-07-01,244800
607,2017-08-01,240500
608,2017-09-01,270200
609,2017-10-01,237250
610,2017-11-01,240250
611,2017-12-01,237600
612,2018-01-01,234500
613,2018-02-01,220000
614,2018-03-01,226000
615,2018-04-01,222000
616,2018-05-01,221250
617,2018-06-01,221400
618,2018-07-01,216250
619,2018-08-01,215250
620,2018-09-01,212600
621,2018-10-01,215500
622,2018-11-01,222250
623,2018-12-01,219600
624,2019-01-01,220250
625,2019-02-01,225000
626,2019-03-01,217800
627,2019-04-01,215500
628,2019-05-01,218250
629,2019-06-01,221000
630,2019-07-01,213750
631,2019-08-01,216200
632,2019-09-01,213000
633,2019-10-01,215000
634,2019-11-01,214800
635,2019-12-01,226000
636,2020-01-01,212750
637,2020-02-01,211400
638,2020-03-01,2666750
639,2020-04-01,5040250
