,Year,Total Income,Wages and Salaries,% of total
2,1969,10334.2,1447.4,0.14005922083954248
3,1970,10739.3,1563.1,0.14554952371197377
4,1971,11259.1,1662.2,0.14763169347461164
5,1972,12122.2,1751.3,0.144470475656234
6,1973,13319.1,1933.6,0.14517497428504927
7,1974,14613.5,2199.3,0.15049782735142164
8,1975,15457.4,2321.6,0.15019343485967887
9,1976,16767.1,2447.5,0.14597038247520444
10,1977,18581.1,2664.3,0.1433876358234981
11,1978,20527.6,2964.1,0.14439583779886592
12,1979,22408.6,3322.5,0.14826896816400847
13,1980,24310.7,3974.9,0.16350413603886355
14,1981,26500.2,4881.3,0.18419860982181266
15,1982,27714.3,5418.9,0.19552721880040266
16,1983,29110.2,5736.1,0.19704777019738787
17,1984,31917.9,6449.4,0.2020621657439869
18,1985,33862.7,6769,0.19989546019661752
19,1986,35189,6905.9,0.1962516695558271
20,1987,36909.9,7056.3,0.19117635106028463
21,1988,39873.3,7609.8,0.1908495158414277
22,1989,42411.9,8334.8,0.1965203162320009
23,1990,45294.9,9210.5,0.20334518897270995
24,1991,45865.3,9056.3,0.19745428461167808
25,1992,48108.8,8995.6,0.18698450179592924
26,1993,49991.1,9464.3,0.18931969890640532
27,1994,52498.1,9738.4,0.18550004666835562
28,1995,55073.1,10612.7,0.19270206325774292
29,1996,57314.4,11365.2,0.19829571625978812
30,1997,60274.8,11996.6,0.1990317678366415
31,1998,63527.7,13040.5,0.2052726605874288
32,1999,65328.8,12769.6,0.19546662421474142
33,2000,68637.9,13349.8,0.19449604373094165
34,2001,68493,13073,0.19086621990568378
35,2002,68663.6,12542.8,0.18267029401313065
36,2003,70084.9,11947.8,0.17047609399456945
37,2004,72810.9,12444.8,0.17091946398135444
38,2005,75099,13344.5,0.17769211307740448
39,2006,79333.4,14793.4,0.1864712718728808
40,2007,82878.5,15874.5,0.19153942216618303
41,2008,85237.7,15920.3,0.18677533532697385
42,2009,80996.5,13769.4,0.16999993826893756
43,2010,82196.4,13435.2,0.16345241397433466
44,2011,87465.6,14972.1,0.17117701130501592
45,2012,91619.8,16746,0.18277708530252193
46,2013,92402.4,15775.6,0.17072716725972487
47,2014,97046.4,17660.2,0.18197686879678177
48,2015,100162.6,18307.1,0.1827738097852891
49,2016,102212.8,18972.2,0.18561471753048542
50,2017,105828.4,19732.9,0.18646129016407698
51,2018,110538.7,21399.7,0.19359464151469125
