,Year,% Share of GDP by Sector,Total Employment
1,2001,56266650.0,89418.0
2,2002,58443462.0,84061.0
3,2003,60757582.0,81466.0
4,2004,63238128.0,80551.0
5,2005,66587433.0,81758.0
6,2006,66673188.0,82296.0
7,2007,68490187.0,84278.0
8,2008,70073220.0,84533.0
9,2009,65929155.0,78878.0
10,2010,66364468.0,76799.0
11,2011,68927640.0,78001.0
12,2012,72013891.0,78945.0
13,2013,74198677.0,81177.0
14,2014,78476771.0,81282.0
15,2015,81977358.0,82204.0
16,2016,83499107.0,82649.0
17,2017,86028590.0,82885.0
18,2018,90006781.0,83276.0
